,Deaths,Population,Overdose Rate,Unemployment Rate,Median Income,prisoner_count,incarceration rate (%)
270,1273,4425092,29.9067,7.5,36641,11959,0.270254268
271,1419,4436974,33.5499,4.1,61795,11867,0.267508966
272,265,4477875,5.97,3.6,54660,19660,0.439784823
273,365,4497267,8.2523,4.3,65415,20010,0.447031763
274,536,4521042,12.1353,4.3,58629,19498,0.433899723
275,539,4552238,12.1211,4.9,53367,19470,0.43202487
276,661,4576628,14.7302,5.2,41302,19371,0.429766529
277,705,4302665,16.5314,4.2,48621,20815,0.485450705
278,808,4375581,18.8327,6.6,57431,20461,0.476590444
279,647,4435586,14.8777,4.0,42590,20857,0.472862495
280,584,4491648,13.1386,3.6,57512,19889,0.442757424
281,591,4533372,13.1747,4.7,53079,19008,0.418186262
282,601,4574836,13.4834,5.1,43553,18844,0.411911779
283,566,4601893,12.3286,5.6,62187,18601,0.40418206
284,809,4625470,17.7718,3.6,64632,18794,0.405980709
285,777,4649676,16.8583,3.5,55582,18710,0.402393629
286,861,4670724,19.0385,4.1,58341,18447,0.394949477
287,996,4681666,21.8107,5.4,51926,15059,0.321350736
288,85,1285692,6.4893,4.0,47043,1675,0.13040398
289,139,1295960,10.9383,3.1,55616,1855,0.143254969
290,133,1306513,10.2809,3.5,40277,1974,0.150778526
291,140,1313688,10.9506,4.8,45774,2013,0.153081594
292,163,1318787,12.4256,6.5,41090,1970,0.149443947
293,159,1323619,12.0255,4.0,57820,2083,0.157615086
294,159,1327040,12.3619,7.0,48879,2148,0.163072319
295,162,1330509,12.3241,4.9,63313,2047,0.155493233
296,173,1329590,12.745,3.9,68876,2074,0.157323707
297,135,1328361,10.4221,4.6,49693,1954,0.147207391
298,156,1328188,11.7773,4.5,40658,1978,0.148884794
299,150,1329192,11.4743,5.7,39856,1977,0.14881434
300,174,1328302,13.2438,4.4,46147,2073,0.156016925
301,216,1330089,16.8385,3.7,50219,2199,0.165327283
302,269,1329328,21.1572,5.0,44445,2190,0.164744894
303,353,1331479,28.7144,4.5,50637,2356,0.177111962
